graph,original_order,original_size,original_time,original_iterations,original_error,original_technique,batch_size,order,size,time,iterations,error,technique
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","100","281919.8","2312597","11.2042","63","7.0514e-7","pagerankCuda [static]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","100","281919.8","2312597","4.9814","0","0.0000026146","pagerankNvgraph [dynamic]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","100","281919.8","2312597","4.3942000000000005","24.4","0.0000046582000000000006","pagerankCuda [dynamic]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","500","281997.8","2312997","11.23","0","0","pagerankNvgraph [static]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","500","281997.8","2312997","11.213","63","8.14552e-7","pagerankCuda [static]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","500","281997.8","2312997","7.0283999999999995","0","0.0000022055800000000004","pagerankNvgraph [dynamic]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","500","281997.8","2312997","6.2958","35.2","0.00000469934","pagerankCuda [dynamic]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","1000","282074.2","2313497","11.267000000000001","0","0","pagerankNvgraph [static]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","1000","282074.2","2313497","11.176","63","7.720359999999999e-7","pagerankCuda [static]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","1000","282074.2","2313497","6.7268","0","0.0000034386","pagerankNvgraph [dynamic]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","1000","282074.2","2313497","6.6664","37.4","0.00000435862","pagerankCuda [dynamic]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","5000","282811.4","2317497","11.0892","0","0","pagerankNvgraph [static]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","5000","282811.4","2317497","11.1726","62.6","9.084559999999998e-7","pagerankCuda [static]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","5000","282811.4","2317497","8.3256","0","0.0000030808800000000003","pagerankNvgraph [dynamic]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","5000","282811.4","2317497","8.297799999999999","46.4","0.00000391178","pagerankCuda [dynamic]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","10000","283663.6","2322497","10.8982","0","0","pagerankNvgraph [static]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","10000","283663.6","2322497","11.1464","62","6.914759999999999e-7","pagerankCuda [static]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","10000","283663.6","2322497","8.2028","0","0.00000416462","pagerankNvgraph [dynamic]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","10000","283663.6","2322497","8.7758","48.4","0.00000372786","pagerankCuda [dynamic]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","50000","289720.2","2362495.8","10.1996","0","0","pagerankNvgraph [static]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","50000","289720.2","2362495.8","10.501000000000001","58","8.06178e-7","pagerankCuda [static]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","50000","289720.2","2362495.8","9.3036","0","0.00000268774","pagerankNvgraph [dynamic]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","50000","289720.2","2362495.8","9.5586","52.8","0.00000337696","pagerankCuda [dynamic]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","100000","295269.2","2412493.6","9.6714","0","0","pagerankNvgraph [static]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","100000","295269.2","2412493.6","10.1038","55","9.265999999999999e-7","pagerankCuda [static]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","100000","295269.2","2412493.6","8.865","0","0.00000242928","pagerankNvgraph [dynamic]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","100000","295269.2","2412493.6","9.312999999999999","50.6","0.00000292252","pagerankCuda [dynamic]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","500000","308976.8","2812486.4","8.146400000000002","0","0","pagerankNvgraph [static]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","500000","308976.8","2812486.4","7.939399999999999","41.4","0.0000017466240000000002","pagerankCuda [static]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","500000","308976.8","2812486.4","8.1602","0","6.844360000000001e-7","pagerankNvgraph [dynamic]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","500000","308976.8","2812486.4","7.829000000000001","40.8","0.00000223734","pagerankCuda [dynamic]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","1000000","310050","3312473.2","7.2724","0","0","pagerankNvgraph [static]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","1000000","310050","3312473.2","6.9525999999999994","34.4","0.00000163018","pagerankCuda [static]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","1000000","310050","3312473.2","7.333","0","2.97882e-7","pagerankNvgraph [dynamic]"
"web-Stanford","281903","2312497","11.365","0","0","pagerankNvgraph","1000000","310050","3312473.2","7.028999999999999","34.8","0.0000015474200000000001","pagerankCuda [dynamic]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","1","685230","7600596","15.8302","0","0","pagerankNvgraph [static]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","1","685230","7600596","21.7164","64","9.650079999999999e-7","pagerankCuda [static]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","1","685230","7600596","0.7574","0","5.781739999999999e-7","pagerankNvgraph [dynamic]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","1","685230","7600596","0.40359999999999996","1","8.958599999999999e-7","pagerankCuda [dynamic]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","5","685230.8","7600600","15.910999999999998","0","0","pagerankNvgraph [static]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","5","685230.8","7600600","22.110599999999998","64","9.72178e-7","pagerankCuda [static]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","5","685230.8","7600600","2.348","0","0.00000149304","pagerankNvgraph [dynamic]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","5","685230.8","7600600","1.6392","4.6","0.0000027515199999999995","pagerankCuda [dynamic]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","10","685232.8","7600605","15.8762","0","0","pagerankNvgraph [static]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","10","685232.8","7600605","21.715600000000002","64","9.7889e-7","pagerankCuda [static]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","10","685232.8","7600605","3.0766","0","0.0000019395599999999998","pagerankNvgraph [dynamic]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","10","685232.8","7600605","2.7001999999999997","7.8","0.00000353388","pagerankCuda [dynamic]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","50","685243.2","7600645","15.9168","0","0","pagerankNvgraph [static]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","50","685243.2","7600645","22.0238","64","9.59744e-7","pagerankCuda [static]"
"web-BerkStan","685230","7600595","16.287","0","0","pagerankNvgraph","50","685243.2","7600645","5.151800000000001","0","0.0000026165000000000003","pagerankNvgraph [dynamic]"
